real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
HS	2	370	22	394	0.005	0.939	0.056	conf.mat.colony2_sim_17.Dat
UR	0	8	9436	9444	0	0.001	0.999	conf.mat.colony2_sim_17.Dat
FS	72	4	0	76	0.947	0.053	0	conf.mat.colony2_sim_18.Dat
HS	0	262	24	286	0	0.916	0.084	conf.mat.colony2_sim_18.Dat
UR	0	24	9514	9538	0	0.003	0.997	conf.mat.colony2_sim_18.Dat
FS	70	8	0	78	0.897	0.103	0	conf.mat.colony2_sim_19.Dat
HS	0	242	38	280	0	0.864	0.136	conf.mat.colony2_sim_19.Dat
UR	0	30	9512	9542	0	0.003	0.997	conf.mat.colony2_sim_19.Dat
FS	90	0	0	90	1	0	0	conf.mat.colony2_sim_2.Dat
HS	0	268	24	292	0	0.918	0.082	conf.mat.colony2_sim_2.Dat
UR	0	12	9506	9518	0	0.001	0.999	conf.mat.colony2_sim_2.Dat
FS	222	2	0	224	0.991	0.009	0	conf.mat.colony2_sim_20.Dat
HS	0	172	12	184	0	0.935	0.065	conf.mat.colony2_sim_20.Dat
UR	0	40	9452	9492	0	0.004	0.996	conf.mat.colony2_sim_20.Dat
FS	88	0	0	88	1	0	0	conf.mat.colony2_sim_21.Dat
HS	0	288	12	300	0	0.96	0.04	conf.mat.colony2_sim_21.Dat
UR	0	38	9474	9512	0	0.004	0.996	conf.mat.colony2_sim_21.Dat
FS	114	4	0	118	0.966	0.034	0	conf.mat.colony2_sim_22.Dat
HS	0	254	10	264	0	0.962	0.038	conf.mat.colony2_sim_22.Dat
UR	0	14	9504	9518	0	0.001	0.999	conf.mat.colony2_sim_22.Dat
FS	146	2	0	148	0.986	0.014	0	conf.mat.colony2_sim_23.Dat
HS	0	304	6	310	0	0.981	0.019	conf.mat.colony2_sim_23.Dat
UR	0	38	9404	9442	0	0.004	0.996	conf.mat.colony2_sim_23.Dat
FS	144	6	0	150	0.96	0.04	0	conf.mat.colony2_sim_24.Dat
HS	0	280	8	288	0	0.972	0.028	conf.mat.colony2_sim_24.Dat
UR	0	30	9432	9462	0	0.003	0.997	conf.mat.colony2_sim_24.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_25.Dat
HS	0	242	12	254	0	0.953	0.047	conf.mat.colony2_sim_25.Dat
UR	0	18	9500	9518	0	0.002	0.998	conf.mat.colony2_sim_25.Dat
FS	72	4	0	76	0.947	0.053	0	conf.mat.colony2_sim_26.Dat
HS	0	288	16	304	0	0.947	0.053	conf.mat.colony2_sim_26.Dat
UR	0	26	9494	9520	0	0.003	0.997	conf.mat.colony2_sim_26.Dat
FS	120	2	0	122	0.984	0.016	0	conf.mat.colony2_sim_27.Dat
HS	0	260	10	270	0	0.963	0.037	conf.mat.colony2_sim_27.Dat
UR	0	22	9486	9508	0	0.002	0.998	conf.mat.colony2_sim_27.Dat
FS	174	0	0	174	1	0	0	conf.mat.colony2_sim_28.Dat
HS	0	330	2	332	0	0.994	0.006	conf.mat.colony2_sim_28.Dat
UR	0	22	9372	9394	0	0.002	0.998	conf.mat.colony2_sim_28.Dat
FS	156	0	0	156	1	0	0	conf.mat.colony2_sim_29.Dat
HS	0	344	10	354	0	0.972	0.028	conf.mat.colony2_sim_29.Dat
UR	0	12	9378	9390	0	0.001	0.999	conf.mat.colony2_sim_29.Dat
FS	154	0	0	154	1	0	0	conf.mat.colony2_sim_3.Dat
HS	0	194	6	200	0	0.97	0.03	conf.mat.colony2_sim_3.Dat
UR	0	12	9534	9546	0	0.001	0.999	conf.mat.colony2_sim_3.Dat
FS	138	4	0	142	0.972	0.028	0	conf.mat.colony2_sim_30.Dat
HS	0	278	6	284	0	0.979	0.021	conf.mat.colony2_sim_30.Dat
UR	0	22	9452	9474	0	0.002	0.998	conf.mat.colony2_sim_30.Dat
FS	152	4	0	156	0.974	0.026	0	conf.mat.colony2_sim_31.Dat
HS	0	226	2	228	0	0.991	0.009	conf.mat.colony2_sim_31.Dat
UR	0	10	9506	9516	0	0.001	0.999	conf.mat.colony2_sim_31.Dat
FS	136	6	0	142	0.958	0.042	0	conf.mat.colony2_sim_32.Dat
HS	6	234	28	268	0.022	0.873	0.104	conf.mat.colony2_sim_32.Dat
UR	0	18	9472	9490	0	0.002	0.998	conf.mat.colony2_sim_32.Dat
FS	126	6	0	132	0.955	0.045	0	conf.mat.colony2_sim_33.Dat
HS	0	296	10	306	0	0.967	0.033	conf.mat.colony2_sim_33.Dat
UR	0	10	9452	9462	0	0.001	0.999	conf.mat.colony2_sim_33.Dat
FS	136	0	0	136	1	0	0	conf.mat.colony2_sim_34.Dat
HS	0	302	8	310	0	0.974	0.026	conf.mat.colony2_sim_34.Dat
UR	0	18	9436	9454	0	0.002	0.998	conf.mat.colony2_sim_34.Dat
FS	192	6	0	198	0.97	0.03	0	conf.mat.colony2_sim_35.Dat
HS	0	192	18	210	0	0.914	0.086	conf.mat.colony2_sim_35.Dat
UR	0	12	9480	9492	0	0.001	0.999	conf.mat.colony2_sim_35.Dat
FS	142	4	0	146	0.973	0.027	0	conf.mat.colony2_sim_36.Dat
HS	4	286	8	298	0.013	0.96	0.027	conf.mat.colony2_sim_36.Dat
UR	0	22	9434	9456	0	0.002	0.998	conf.mat.colony2_sim_36.Dat
FS	198	0	0	198	1	0	0	conf.mat.colony2_sim_37.Dat
HS	0	242	6	248	0	0.976	0.024	conf.mat.colony2_sim_37.Dat
UR	0	16	9438	9454	0	0.002	0.998	conf.mat.colony2_sim_37.Dat
FS	168	4	0	172	0.977	0.023	0	conf.mat.colony2_sim_38.Dat
HS	0	210	2	212	0	0.991	0.009	conf.mat.colony2_sim_38.Dat
UR	0	38	9478	9516	0	0.004	0.996	conf.mat.colony2_sim_38.Dat
FS	86	2	0	88	0.977	0.023	0	conf.mat.colony2_sim_39.Dat
HS	0	330	14	344	0	0.959	0.041	conf.mat.colony2_sim_39.Dat
UR	0	10	9458	9468	0	0.001	0.999	conf.mat.colony2_sim_39.Dat
FS	120	2	0	122	0.984	0.016	0	conf.mat.colony2_sim_4.Dat
HS	0	280	10	290	0	0.966	0.034	conf.mat.colony2_sim_4.Dat
UR	0	28	9460	9488	0	0.003	0.997	conf.mat.colony2_sim_4.Dat
FS	138	2	0	140	0.986	0.014	0	conf.mat.colony2_sim_40.Dat
HS	0	356	6	362	0	0.983	0.017	conf.mat.colony2_sim_40.Dat
UR	0	16	9382	9398	0	0.002	0.998	conf.mat.colony2_sim_40.Dat
FS	142	12	0	154	0.922	0.078	0	conf.mat.colony2_sim_41.Dat
HS	0	164	4	168	0	0.976	0.024	conf.mat.colony2_sim_41.Dat
UR	0	20	9558	9578	0	0.002	0.998	conf.mat.colony2_sim_41.Dat
FS	196	4	0	200	0.98	0.02	0	conf.mat.colony2_sim_42.Dat
HS	0	256	6	262	0	0.977	0.023	conf.mat.colony2_sim_42.Dat
UR	0	30	9408	9438	0	0.003	0.997	conf.mat.colony2_sim_42.Dat
FS	140	0	0	140	1	0	0	conf.mat.colony2_sim_43.Dat
HS	0	310	10	320	0	0.969	0.031	conf.mat.colony2_sim_43.Dat
UR	0	8	9432	9440	0	0.001	0.999	conf.mat.colony2_sim_43.Dat
FS	102	2	0	104	0.981	0.019	0	conf.mat.colony2_sim_44.Dat
HS	0	302	18	320	0	0.944	0.056	conf.mat.colony2_sim_44.Dat
UR	0	20	9456	9476	0	0.002	0.998	conf.mat.colony2_sim_44.Dat
FS	116	2	0	118	0.983	0.017	0	conf.mat.colony2_sim_45.Dat
HS	0	308	6	314	0	0.981	0.019	conf.mat.colony2_sim_45.Dat
UR	0	16	9452	9468	0	0.002	0.998	conf.mat.colony2_sim_45.Dat
FS	128	4	0	132	0.97	0.03	0	conf.mat.colony2_sim_46.Dat
HS	0	310	12	322	0	0.963	0.037	conf.mat.colony2_sim_46.Dat
UR	0	16	9430	9446	0	0.002	0.998	conf.mat.colony2_sim_46.Dat
FS	122	0	0	122	1	0	0	conf.mat.colony2_sim_47.Dat
HS	6	282	40	328	0.018	0.86	0.122	conf.mat.colony2_sim_47.Dat
UR	0	28	9422	9450	0	0.003	0.997	conf.mat.colony2_sim_47.Dat
FS	146	0	0	146	1	0	0	conf.mat.colony2_sim_48.Dat
HS	0	180	8	188	0	0.957	0.043	conf.mat.colony2_sim_48.Dat
UR	0	22	9544	9566	0	0.002	0.998	conf.mat.colony2_sim_48.Dat
FS	142	2	0	144	0.986	0.014	0	conf.mat.colony2_sim_49.Dat
HS	4	278	10	292	0.014	0.952	0.034	conf.mat.colony2_sim_49.Dat
UR	0	12	9452	9464	0	0.001	0.999	conf.mat.colony2_sim_49.Dat
FS	166	0	0	166	1	0	0	conf.mat.colony2_sim_5.Dat
HS	0	288	0	288	0	1	0	conf.mat.colony2_sim_5.Dat
UR	0	12	9434	9446	0	0.001	0.999	conf.mat.colony2_sim_5.Dat
FS	172	2	0	174	0.989	0.011	0	conf.mat.colony2_sim_50.Dat
HS	0	234	14	248	0	0.944	0.056	conf.mat.colony2_sim_50.Dat
UR	0	14	9464	9478	0	0.001	0.999	conf.mat.colony2_sim_50.Dat
FS	210	0	0	210	1	0	0	conf.mat.colony2_sim_51.Dat
HS	0	176	8	184	0	0.957	0.043	conf.mat.colony2_sim_51.Dat
UR	0	14	9492	9506	0	0.001	0.999	conf.mat.colony2_sim_51.Dat
FS	100	0	0	100	1	0	0	conf.mat.colony2_sim_52.Dat
HS	0	430	2	432	0	0.995	0.005	conf.mat.colony2_sim_52.Dat
UR	0	14	9354	9368	0	0.001	0.999	conf.mat.colony2_sim_52.Dat
FS	114	4	0	118	0.966	0.034	0	conf.mat.colony2_sim_53.Dat
HS	0	246	10	256	0	0.961	0.039	conf.mat.colony2_sim_53.Dat
UR	0	26	9500	9526	0	0.003	0.997	conf.mat.colony2_sim_53.Dat
FS	104	2	0	106	0.981	0.019	0	conf.mat.colony2_sim_54.Dat
HS	0	252	40	292	0	0.863	0.137	conf.mat.colony2_sim_54.Dat
UR	0	40	9462	9502	0	0.004	0.996	conf.mat.colony2_sim_54.Dat
FS	112	2	0	114	0.982	0.018	0	conf.mat.colony2_sim_55.Dat
HS	0	262	8	270	0	0.97	0.03	conf.mat.colony2_sim_55.Dat
UR	0	24	9492	9516	0	0.003	0.997	conf.mat.colony2_sim_55.Dat
FS	154	2	0	156	0.987	0.013	0	conf.mat.colony2_sim_56.Dat
HS	0	224	26	250	0	0.896	0.104	conf.mat.colony2_sim_56.Dat
UR	0	16	9478	9494	0	0.002	0.998	conf.mat.colony2_sim_56.Dat
FS	118	6	0	124	0.952	0.048	0	conf.mat.colony2_sim_57.Dat
HS	0	220	16	236	0	0.932	0.068	conf.mat.colony2_sim_57.Dat
UR	0	34	9506	9540	0	0.004	0.996	conf.mat.colony2_sim_57.Dat
FS	128	0	0	128	1	0	0	conf.mat.colony2_sim_58.Dat
HS	0	238	18	256	0	0.93	0.07	conf.mat.colony2_sim_58.Dat
UR	0	28	9488	9516	0	0.003	0.997	conf.mat.colony2_sim_58.Dat
FS	114	2	0	116	0.983	0.017	0	conf.mat.colony2_sim_59.Dat
HS	0	336	12	348	0	0.966	0.034	conf.mat.colony2_sim_59.Dat
UR	0	20	9416	9436	0	0.002	0.998	conf.mat.colony2_sim_59.Dat
FS	98	4	0	102	0.961	0.039	0	conf.mat.colony2_sim_6.Dat
HS	0	318	24	342	0	0.93	0.07	conf.mat.colony2_sim_6.Dat
UR	0	28	9428	9456	0	0.003	0.997	conf.mat.colony2_sim_6.Dat
FS	96	2	0	98	0.98	0.02	0	conf.mat.colony2_sim_60.Dat
HS	0	364	6	370	0	0.984	0.016	conf.mat.colony2_sim_60.Dat
UR	0	24	9408	9432	0	0.003	0.997	conf.mat.colony2_sim_60.Dat
FS	148	0	0	148	1	0	0	conf.mat.colony2_sim_61.Dat
HS	0	180	6	186	0	0.968	0.032	conf.mat.colony2_sim_61.Dat
UR	0	32	9534	9566	0	0.003	0.997	conf.mat.colony2_sim_61.Dat
FS	134	4	0	138	0.971	0.029	0	conf.mat.colony2_sim_62.Dat
HS	0	306	6	312	0	0.981	0.019	conf.mat.colony2_sim_62.Dat
UR	0	30	9420	9450	0	0.003	0.997	conf.mat.colony2_sim_62.Dat
FS	162	2	0	164	0.988	0.012	0	conf.mat.colony2_sim_63.Dat
HS	0	266	2	268	0	0.993	0.007	conf.mat.colony2_sim_63.Dat
UR	0	18	9450	9468	0	0.002	0.998	conf.mat.colony2_sim_63.Dat
FS	106	0	0	106	1	0	0	conf.mat.colony2_sim_64.Dat
HS	0	236	8	244	0	0.967	0.033	conf.mat.colony2_sim_64.Dat
UR	0	16	9534	9550	0	0.002	0.998	conf.mat.colony2_sim_64.Dat
FS	220	6	0	226	0.973	0.027	0	conf.mat.colony2_sim_65.Dat
HS	0	234	4	238	0	0.983	0.017	conf.mat.colony2_sim_65.Dat
UR	0	22	9414	9436	0	0.002	0.998	conf.mat.colony2_sim_65.Dat
FS	92	2	0	94	0.979	0.021	0	conf.mat.colony2_sim_66.Dat
HS	0	236	26	262	0	0.901	0.099	conf.mat.colony2_sim_66.Dat
UR	0	10	9534	9544	0	0.001	0.999	conf.mat.colony2_sim_66.Dat
FS	110	4	0	114	0.965	0.035	0	conf.mat.colony2_sim_67.Dat
HS	2	274	12	288	0.007	0.951	0.042	conf.mat.colony2_sim_67.Dat
UR	0	14	9484	9498	0	0.001	0.999	conf.mat.colony2_sim_67.Dat
FS	94	6	0	100	0.94	0.06	0	conf.mat.colony2_sim_68.Dat
HS	0	282	30	312	0	0.904	0.096	conf.mat.colony2_sim_68.Dat
UR	0	32	9456	9488	0	0.003	0.997	conf.mat.colony2_sim_68.Dat
FS	120	6	0	126	0.952	0.048	0	conf.mat.colony2_sim_69.Dat
HS	0	290	2	292	0	0.993	0.007	conf.mat.colony2_sim_69.Dat
UR	0	16	9466	9482	0	0.002	0.998	conf.mat.colony2_sim_69.Dat
FS	126	6	0	132	0.955	0.045	0	conf.mat.colony2_sim_7.Dat
HS	0	254	6	260	0	0.977	0.023	conf.mat.colony2_sim_7.Dat
UR	0	10	9498	9508	0	0.001	0.999	conf.mat.colony2_sim_7.Dat
FS	116	4	0	120	0.967	0.033	0	conf.mat.colony2_sim_70.Dat
HS	0	328	4	332	0	0.988	0.012	conf.mat.colony2_sim_70.Dat
UR	0	12	9436	9448	0	0.001	0.999	conf.mat.colony2_sim_70.Dat
FS	124	0	0	124	1	0	0	conf.mat.colony2_sim_71.Dat
HS	0	236	12	248	0	0.952	0.048	conf.mat.colony2_sim_71.Dat
UR	0	16	9512	9528	0	0.002	0.998	conf.mat.colony2_sim_71.Dat
FS	176	0	0	176	1	0	0	conf.mat.colony2_sim_72.Dat
HS	0	338	14	352	0	0.96	0.04	conf.mat.colony2_sim_72.Dat
UR	0	10	9362	9372	0	0.001	0.999	conf.mat.colony2_sim_72.Dat
FS	138	4	0	142	0.972	0.028	0	conf.mat.colony2_sim_73.Dat
HS	0	254	0	254	0	1	0	conf.mat.colony2_sim_73.Dat
UR	0	18	9486	9504	0	0.002	0.998	conf.mat.colony2_sim_73.Dat
FS	128	4	0	132	0.97	0.03	0	conf.mat.colony2_sim_74.Dat
HS	2	302	28	332	0.006	0.91	0.084	conf.mat.colony2_sim_74.Dat
UR	0	22	9414	9436	0	0.002	0.998	conf.mat.colony2_sim_74.Dat
FS	98	2	0	100	0.98	0.02	0	conf.mat.colony2_sim_75.Dat
HS	0	216	22	238	0	0.908	0.092	conf.mat.colony2_sim_75.Dat
UR	0	28	9534	9562	0	0.003	0.997	conf.mat.colony2_sim_75.Dat
FS	88	0	0	88	1	0	0	conf.mat.colony2_sim_76.Dat
HS	0	242	8	250	0	0.968	0.032	conf.mat.colony2_sim_76.Dat
UR	0	20	9542	9562	0	0.002	0.998	conf.mat.colony2_sim_76.Dat
FS	156	4	0	160	0.975	0.025	0	conf.mat.colony2_sim_77.Dat
HS	0	276	14	290	0	0.952	0.048	conf.mat.colony2_sim_77.Dat
UR	0	14	9436	9450	0	0.001	0.999	conf.mat.colony2_sim_77.Dat
FS	122	2	0	124	0.984	0.016	0	conf.mat.colony2_sim_78.Dat
HS	0	410	16	426	0	0.962	0.038	conf.mat.colony2_sim_78.Dat
UR	0	32	9318	9350	0	0.003	0.997	conf.mat.colony2_sim_78.Dat
FS	96	10	0	106	0.906	0.094	0	conf.mat.colony2_sim_79.Dat
HS	0	298	12	310	0	0.961	0.039	conf.mat.colony2_sim_79.Dat
UR	0	16	9468	9484	0	0.002	0.998	conf.mat.colony2_sim_79.Dat
FS	162	0	0	162	1	0	0	conf.mat.colony2_sim_8.Dat
HS	2	316	24	342	0.006	0.924	0.07	conf.mat.colony2_sim_8.Dat
UR	0	36	9360	9396	0	0.004	0.996	conf.mat.colony2_sim_8.Dat
FS	206	4	0	210	0.981	0.019	0	conf.mat.colony2_sim_80.Dat
HS	0	188	2	190	0	0.989	0.011	conf.mat.colony2_sim_80.Dat
UR	0	36	9464	9500	0	0.004	0.996	conf.mat.colony2_sim_80.Dat
FS	154	4	0	158	0.975	0.025	0	conf.mat.colony2_sim_81.Dat
HS	2	370	2	374	0.005	0.989	0.005	conf.mat.colony2_sim_81.Dat
UR	0	12	9356	9368	0	0.001	0.999	conf.mat.colony2_sim_81.Dat
FS	106	2	0	108	0.981	0.019	0	conf.mat.colony2_sim_82.Dat
HS	0	268	14	282	0	0.95	0.05	conf.mat.colony2_sim_82.Dat
UR	0	22	9488	9510	0	0.002	0.998	conf.mat.colony2_sim_82.Dat
FS	148	6	0	154	0.961	0.039	0	conf.mat.colony2_sim_83.Dat
HS	0	190	24	214	0	0.888	0.112	conf.mat.colony2_sim_83.Dat
UR	0	32	9500	9532	0	0.003	0.997	conf.mat.colony2_sim_83.Dat
FS	124	4	0	128	0.969	0.031	0	conf.mat.colony2_sim_84.Dat
HS	0	290	6	296	0	0.98	0.02	conf.mat.colony2_sim_84.Dat
UR	0	20	9456	9476	0	0.002	0.998	conf.mat.colony2_sim_84.Dat
FS	116	6	0	122	0.951	0.049	0	conf.mat.colony2_sim_85.Dat
HS	0	186	40	226	0	0.823	0.177	conf.mat.colony2_sim_85.Dat
UR	0	32	9520	9552	0	0.003	0.997	conf.mat.colony2_sim_85.Dat
FS	190	0	0	190	1	0	0	conf.mat.colony2_sim_86.Dat
HS	0	174	12	186	0	0.935	0.065	conf.mat.colony2_sim_86.Dat
UR	0	16	9508	9524	0	0.002	0.998	conf.mat.colony2_sim_86.Dat
FS	148	0	0	148	1	0	0	conf.mat.colony2_sim_87.Dat
HS	0	198	4	202	0	0.98	0.02	conf.mat.colony2_sim_87.Dat
UR	0	32	9518	9550	0	0.003	0.997	conf.mat.colony2_sim_87.Dat
FS	174	4	0	178	0.978	0.022	0	conf.mat.colony2_sim_88.Dat
HS	2	218	14	234	0.009	0.932	0.06	conf.mat.colony2_sim_88.Dat
UR	0	26	9462	9488	0	0.003	0.997	conf.mat.colony2_sim_88.Dat
FS	84	6	0	90	0.933	0.067	0	conf.mat.colony2_sim_89.Dat
HS	2	316	18	336	0.006	0.94	0.054	conf.mat.colony2_sim_89.Dat
UR	0	8	9466	9474	0	0.001	0.999	conf.mat.colony2_sim_89.Dat
FS	150	0	0	150	1	0	0	conf.mat.colony2_sim_9.Dat
HS	0	330	8	338	0	0.976	0.024	conf.mat.colony2_sim_9.Dat
UR	0	14	9398	9412	0	0.001	0.999	conf.mat.colony2_sim_9.Dat
FS	150	2	0	152	0.987	0.013	0	conf.mat.colony2_sim_90.Dat
HS	0	188	16	204	0	0.922	0.078	conf.mat.colony2_sim_90.Dat
UR	0	30	9514	9544	0	0.003	0.997	conf.mat.colony2_sim_90.Dat
FS	162	0	0	162	1	0	0	conf.mat.colony2_sim_91.Dat
HS	0	242	0	242	0	1	0	conf.mat.colony2_sim_91.Dat
UR	0	18	9478	9496	0	0.002	0.998	conf.mat.colony2_sim_91.Dat
FS	150	0	0	150	1	0	0	conf.mat.colony2_sim_92.Dat
HS	0	238	20	258	0	0.922	0.078	conf.mat.colony2_sim_92.Dat
UR	0	20	9472	9492	0	0.002	0.998	conf.mat.colony2_sim_92.Dat
FS	100	0	0	100	1	0	0	conf.mat.colony2_sim_93.Dat
HS	0	326	20	346	0	0.942	0.058	conf.mat.colony2_sim_93.Dat
UR	0	26	9428	9454	0	0.003	0.997	conf.mat.colony2_sim_93.Dat
FS	70	0	0	70	1	0	0	conf.mat.colony2_sim_94.Dat
HS	0	308	8	316	0	0.975	0.025	conf.mat.colony2_sim_94.Dat
UR	0	24	9490	9514	0	0.003	0.997	conf.mat.colony2_sim_94.Dat
FS	116	6	0	122	0.951	0.049	0	conf.mat.colony2_sim_95.Dat
HS	0	208	16	224	0	0.929	0.071	conf.mat.colony2_sim_95.Dat
UR	0	14	9540	9554	0	0.001	0.999	conf.mat.colony2_sim_95.Dat
FS	74	4	0	78	0.949	0.051	0	conf.mat.colony2_sim_96.Dat
HS	0	320	10	330	0	0.97	0.03	conf.mat.colony2_sim_96.Dat
UR	0	16	9476	9492	0	0.002	0.998	conf.mat.colony2_sim_96.Dat
FS	130	4	0	134	0.97	0.03	0	conf.mat.colony2_sim_97.Dat
HS	0	276	10	286	0	0.965	0.035	conf.mat.colony2_sim_97.Dat
UR	0	2	9478	9480	0	0	1	conf.mat.colony2_sim_97.Dat
FS	154	0	0	154	1	0	0	conf.mat.colony2_sim_98.Dat
HS	0	232	4	236	0	0.983	0.017	conf.mat.colony2_sim_98.Dat
UR	0	28	9482	9510	0	0.003	0.997	conf.mat.colony2_sim_98.Dat
FS	160	0	0	160	1	0	0	conf.mat.colony2_sim_99.Dat
HS	2	308	0	310	0.006	0.994	0	conf.mat.colony2_sim_99.Dat
UR	0	18	9412	9430	0	0.002	0.998	conf.mat.colony2_sim_99.Dat
