real.type	FS	HS	UR	total	pFS	pHS	pUR	sim
FS	10	4	0	14	0.714	0.286	0	conf.mat.colony2_sim_16.Dat
HS	0	22	4	26	0	0.846	0.154	conf.mat.colony2_sim_16.Dat
UR	0	130	9730	9860	0	0.013	0.987	conf.mat.colony2_sim_16.Dat
FS	8	4	0	12	0.667	0.333	0	conf.mat.colony2_sim_17.Dat
HS	0	26	4	30	0	0.867	0.133	conf.mat.colony2_sim_17.Dat
UR	0	142	9716	9858	0	0.014	0.986	conf.mat.colony2_sim_17.Dat
FS	8	0	0	8	1	0	0	conf.mat.colony2_sim_18.Dat
HS	0	18	4	22	0	0.818	0.182	conf.mat.colony2_sim_18.Dat
UR	0	160	9710	9870	0	0.016	0.984	conf.mat.colony2_sim_18.Dat
FS	26	2	0	28	0.929	0.071	0	conf.mat.colony2_sim_19.Dat
HS	0	14	4	18	0	0.778	0.222	conf.mat.colony2_sim_19.Dat
UR	0	162	9692	9854	0	0.016	0.984	conf.mat.colony2_sim_19.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_2.Dat
HS	2	24	6	32	0.062	0.75	0.188	conf.mat.colony2_sim_2.Dat
UR	0	170	9690	9860	0	0.017	0.983	conf.mat.colony2_sim_2.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_20.Dat
HS	0	28	4	32	0	0.875	0.125	conf.mat.colony2_sim_20.Dat
UR	0	156	9700	9856	0	0.016	0.984	conf.mat.colony2_sim_20.Dat
FS	2	0	0	2	1	0	0	conf.mat.colony2_sim_21.Dat
HS	0	8	6	14	0	0.571	0.429	conf.mat.colony2_sim_21.Dat
UR	0	182	9702	9884	0	0.018	0.982	conf.mat.colony2_sim_21.Dat
FS	16	0	0	16	1	0	0	conf.mat.colony2_sim_22.Dat
HS	0	32	8	40	0	0.8	0.2	conf.mat.colony2_sim_22.Dat
UR	0	154	9690	9844	0	0.016	0.984	conf.mat.colony2_sim_22.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_23.Dat
HS	2	20	4	26	0.077	0.769	0.154	conf.mat.colony2_sim_23.Dat
UR	0	148	9716	9864	0	0.015	0.985	conf.mat.colony2_sim_23.Dat
FS	18	2	0	20	0.9	0.1	0	conf.mat.colony2_sim_24.Dat
HS	2	26	8	36	0.056	0.722	0.222	conf.mat.colony2_sim_24.Dat
UR	0	130	9714	9844	0	0.013	0.987	conf.mat.colony2_sim_24.Dat
FS	8	0	0	8	1	0	0	conf.mat.colony2_sim_25.Dat
HS	0	24	2	26	0	0.923	0.077	conf.mat.colony2_sim_25.Dat
UR	0	164	9702	9866	0	0.017	0.983	conf.mat.colony2_sim_25.Dat
FS	12	2	0	14	0.857	0.143	0	conf.mat.colony2_sim_26.Dat
HS	0	26	2	28	0	0.929	0.071	conf.mat.colony2_sim_26.Dat
UR	0	162	9696	9858	0	0.016	0.984	conf.mat.colony2_sim_26.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_27.Dat
HS	0	24	0	24	0	1	0	conf.mat.colony2_sim_27.Dat
UR	0	160	9698	9858	0	0.016	0.984	conf.mat.colony2_sim_27.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_28.Dat
HS	0	22	8	30	0	0.733	0.267	conf.mat.colony2_sim_28.Dat
UR	0	150	9712	9862	0	0.015	0.985	conf.mat.colony2_sim_28.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_29.Dat
HS	0	24	10	34	0	0.706	0.294	conf.mat.colony2_sim_29.Dat
UR	0	142	9712	9854	0	0.014	0.986	conf.mat.colony2_sim_29.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_3.Dat
HS	2	24	6	32	0.062	0.75	0.188	conf.mat.colony2_sim_3.Dat
UR	0	142	9714	9856	0	0.014	0.986	conf.mat.colony2_sim_3.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_30.Dat
HS	0	8	6	14	0	0.571	0.429	conf.mat.colony2_sim_30.Dat
UR	0	168	9702	9870	0	0.017	0.983	conf.mat.colony2_sim_30.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_31.Dat
HS	0	16	0	16	0	1	0	conf.mat.colony2_sim_31.Dat
UR	0	160	9712	9872	0	0.016	0.984	conf.mat.colony2_sim_31.Dat
FS	10	4	0	14	0.714	0.286	0	conf.mat.colony2_sim_32.Dat
HS	2	14	2	18	0.111	0.778	0.111	conf.mat.colony2_sim_32.Dat
UR	0	150	9718	9868	0	0.015	0.985	conf.mat.colony2_sim_32.Dat
FS	18	2	0	20	0.9	0.1	0	conf.mat.colony2_sim_33.Dat
HS	2	36	12	50	0.04	0.72	0.24	conf.mat.colony2_sim_33.Dat
UR	0	146	9684	9830	0	0.015	0.985	conf.mat.colony2_sim_33.Dat
FS	12	2	0	14	0.857	0.143	0	conf.mat.colony2_sim_34.Dat
HS	0	14	8	22	0	0.636	0.364	conf.mat.colony2_sim_34.Dat
UR	0	154	9710	9864	0	0.016	0.984	conf.mat.colony2_sim_34.Dat
FS	8	0	0	8	1	0	0	conf.mat.colony2_sim_35.Dat
HS	0	28	10	38	0	0.737	0.263	conf.mat.colony2_sim_35.Dat
UR	0	154	9700	9854	0	0.016	0.984	conf.mat.colony2_sim_35.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_36.Dat
HS	0	24	6	30	0	0.8	0.2	conf.mat.colony2_sim_36.Dat
UR	0	162	9692	9854	0	0.016	0.984	conf.mat.colony2_sim_36.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_37.Dat
HS	0	24	4	28	0	0.857	0.143	conf.mat.colony2_sim_37.Dat
UR	0	164	9696	9860	0	0.017	0.983	conf.mat.colony2_sim_37.Dat
FS	22	2	0	24	0.917	0.083	0	conf.mat.colony2_sim_38.Dat
HS	0	22	16	38	0	0.579	0.421	conf.mat.colony2_sim_38.Dat
UR	0	120	9718	9838	0	0.012	0.988	conf.mat.colony2_sim_38.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_39.Dat
HS	0	44	4	48	0	0.917	0.083	conf.mat.colony2_sim_39.Dat
UR	0	164	9676	9840	0	0.017	0.983	conf.mat.colony2_sim_39.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_4.Dat
HS	0	34	10	44	0	0.773	0.227	conf.mat.colony2_sim_4.Dat
UR	0	152	9692	9844	0	0.015	0.985	conf.mat.colony2_sim_4.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_40.Dat
HS	0	42	6	48	0	0.875	0.125	conf.mat.colony2_sim_40.Dat
UR	0	132	9702	9834	0	0.013	0.987	conf.mat.colony2_sim_40.Dat
FS	14	4	0	18	0.778	0.222	0	conf.mat.colony2_sim_41.Dat
HS	0	36	6	42	0	0.857	0.143	conf.mat.colony2_sim_41.Dat
UR	0	168	9672	9840	0	0.017	0.983	conf.mat.colony2_sim_41.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_42.Dat
HS	0	24	2	26	0	0.923	0.077	conf.mat.colony2_sim_42.Dat
UR	0	154	9704	9858	0	0.016	0.984	conf.mat.colony2_sim_42.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_43.Dat
HS	0	30	4	34	0	0.882	0.118	conf.mat.colony2_sim_43.Dat
UR	0	152	9698	9850	0	0.015	0.985	conf.mat.colony2_sim_43.Dat
FS	14	4	0	18	0.778	0.222	0	conf.mat.colony2_sim_44.Dat
HS	0	18	4	22	0	0.818	0.182	conf.mat.colony2_sim_44.Dat
UR	0	152	9708	9860	0	0.015	0.985	conf.mat.colony2_sim_44.Dat
FS	14	6	0	20	0.7	0.3	0	conf.mat.colony2_sim_45.Dat
HS	2	36	6	44	0.045	0.818	0.136	conf.mat.colony2_sim_45.Dat
UR	0	124	9712	9836	0	0.013	0.987	conf.mat.colony2_sim_45.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_46.Dat
HS	0	36	2	38	0	0.947	0.053	conf.mat.colony2_sim_46.Dat
UR	0	140	9704	9844	0	0.014	0.986	conf.mat.colony2_sim_46.Dat
FS	6	0	0	6	1	0	0	conf.mat.colony2_sim_47.Dat
HS	2	6	8	16	0.125	0.375	0.5	conf.mat.colony2_sim_47.Dat
UR	0	162	9716	9878	0	0.016	0.984	conf.mat.colony2_sim_47.Dat
FS	4	0	0	4	1	0	0	conf.mat.colony2_sim_48.Dat
HS	0	24	4	28	0	0.857	0.143	conf.mat.colony2_sim_48.Dat
UR	0	168	9700	9868	0	0.017	0.983	conf.mat.colony2_sim_48.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_49.Dat
HS	0	26	8	34	0	0.765	0.235	conf.mat.colony2_sim_49.Dat
UR	0	134	9720	9854	0	0.014	0.986	conf.mat.colony2_sim_49.Dat
FS	12	2	0	14	0.857	0.143	0	conf.mat.colony2_sim_5.Dat
HS	0	30	6	36	0	0.833	0.167	conf.mat.colony2_sim_5.Dat
UR	0	154	9696	9850	0	0.016	0.984	conf.mat.colony2_sim_5.Dat
FS	18	4	0	22	0.818	0.182	0	conf.mat.colony2_sim_50.Dat
HS	0	8	4	12	0	0.667	0.333	conf.mat.colony2_sim_50.Dat
UR	0	162	9704	9866	0	0.016	0.984	conf.mat.colony2_sim_50.Dat
FS	18	0	0	18	1	0	0	conf.mat.colony2_sim_51.Dat
HS	0	34	8	42	0	0.81	0.19	conf.mat.colony2_sim_51.Dat
UR	0	152	9688	9840	0	0.015	0.985	conf.mat.colony2_sim_51.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_52.Dat
HS	0	30	6	36	0	0.833	0.167	conf.mat.colony2_sim_52.Dat
UR	0	194	9662	9856	0	0.02	0.98	conf.mat.colony2_sim_52.Dat
FS	8	4	0	12	0.667	0.333	0	conf.mat.colony2_sim_53.Dat
HS	0	22	12	34	0	0.647	0.353	conf.mat.colony2_sim_53.Dat
UR	0	152	9702	9854	0	0.015	0.985	conf.mat.colony2_sim_53.Dat
FS	16	4	0	20	0.8	0.2	0	conf.mat.colony2_sim_54.Dat
HS	0	24	8	32	0	0.75	0.25	conf.mat.colony2_sim_54.Dat
UR	0	124	9724	9848	0	0.013	0.987	conf.mat.colony2_sim_54.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_55.Dat
HS	0	22	10	32	0	0.688	0.312	conf.mat.colony2_sim_55.Dat
UR	0	160	9696	9856	0	0.016	0.984	conf.mat.colony2_sim_55.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_56.Dat
HS	2	10	4	16	0.125	0.625	0.25	conf.mat.colony2_sim_56.Dat
UR	0	146	9726	9872	0	0.015	0.985	conf.mat.colony2_sim_56.Dat
FS	18	0	0	18	1	0	0	conf.mat.colony2_sim_57.Dat
HS	0	10	10	20	0	0.5	0.5	conf.mat.colony2_sim_57.Dat
UR	0	184	9678	9862	0	0.019	0.981	conf.mat.colony2_sim_57.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_58.Dat
HS	0	22	10	32	0	0.688	0.312	conf.mat.colony2_sim_58.Dat
UR	0	188	9672	9860	0	0.019	0.981	conf.mat.colony2_sim_58.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_59.Dat
HS	0	18	12	30	0	0.6	0.4	conf.mat.colony2_sim_59.Dat
UR	0	158	9694	9852	0	0.016	0.984	conf.mat.colony2_sim_59.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_6.Dat
HS	2	24	6	32	0.062	0.75	0.188	conf.mat.colony2_sim_6.Dat
UR	0	152	9706	9858	0	0.015	0.985	conf.mat.colony2_sim_6.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_60.Dat
HS	0	14	10	24	0	0.583	0.417	conf.mat.colony2_sim_60.Dat
UR	0	164	9702	9866	0	0.017	0.983	conf.mat.colony2_sim_60.Dat
FS	12	2	0	14	0.857	0.143	0	conf.mat.colony2_sim_61.Dat
HS	0	20	6	26	0	0.769	0.231	conf.mat.colony2_sim_61.Dat
UR	0	158	9702	9860	0	0.016	0.984	conf.mat.colony2_sim_61.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_62.Dat
HS	2	28	2	32	0.062	0.875	0.062	conf.mat.colony2_sim_62.Dat
UR	0	140	9716	9856	0	0.014	0.986	conf.mat.colony2_sim_62.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_63.Dat
HS	0	28	6	34	0	0.824	0.176	conf.mat.colony2_sim_63.Dat
UR	0	160	9696	9856	0	0.016	0.984	conf.mat.colony2_sim_63.Dat
FS	2	0	0	2	1	0	0	conf.mat.colony2_sim_64.Dat
HS	0	22	2	24	0	0.917	0.083	conf.mat.colony2_sim_64.Dat
UR	0	140	9734	9874	0	0.014	0.986	conf.mat.colony2_sim_64.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_65.Dat
HS	0	24	10	34	0	0.706	0.294	conf.mat.colony2_sim_65.Dat
UR	0	158	9698	9856	0	0.016	0.984	conf.mat.colony2_sim_65.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_66.Dat
HS	0	32	2	34	0	0.941	0.059	conf.mat.colony2_sim_66.Dat
UR	0	148	9708	9856	0	0.015	0.985	conf.mat.colony2_sim_66.Dat
FS	30	0	0	30	1	0	0	conf.mat.colony2_sim_67.Dat
HS	0	14	4	18	0	0.778	0.222	conf.mat.colony2_sim_67.Dat
UR	0	136	9716	9852	0	0.014	0.986	conf.mat.colony2_sim_67.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_68.Dat
HS	0	26	0	26	0	1	0	conf.mat.colony2_sim_68.Dat
UR	0	170	9688	9858	0	0.017	0.983	conf.mat.colony2_sim_68.Dat
FS	14	0	0	14	1	0	0	conf.mat.colony2_sim_69.Dat
HS	0	32	10	42	0	0.762	0.238	conf.mat.colony2_sim_69.Dat
UR	0	150	9694	9844	0	0.015	0.985	conf.mat.colony2_sim_69.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_7.Dat
HS	0	16	8	24	0	0.667	0.333	conf.mat.colony2_sim_7.Dat
UR	0	154	9706	9860	0	0.016	0.984	conf.mat.colony2_sim_7.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_70.Dat
HS	2	26	10	38	0.053	0.684	0.263	conf.mat.colony2_sim_70.Dat
UR	0	176	9674	9850	0	0.018	0.982	conf.mat.colony2_sim_70.Dat
FS	14	4	0	18	0.778	0.222	0	conf.mat.colony2_sim_71.Dat
HS	0	14	0	14	0	1	0	conf.mat.colony2_sim_71.Dat
UR	0	152	9716	9868	0	0.015	0.985	conf.mat.colony2_sim_71.Dat
FS	20	0	0	20	1	0	0	conf.mat.colony2_sim_72.Dat
HS	0	24	6	30	0	0.8	0.2	conf.mat.colony2_sim_72.Dat
UR	0	156	9694	9850	0	0.016	0.984	conf.mat.colony2_sim_72.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_73.Dat
HS	0	22	12	34	0	0.647	0.353	conf.mat.colony2_sim_73.Dat
UR	0	176	9672	9848	0	0.018	0.982	conf.mat.colony2_sim_73.Dat
FS	20	0	0	20	1	0	0	conf.mat.colony2_sim_74.Dat
HS	2	26	2	30	0.067	0.867	0.067	conf.mat.colony2_sim_74.Dat
UR	0	134	9716	9850	0	0.014	0.986	conf.mat.colony2_sim_74.Dat
FS	16	2	0	18	0.889	0.111	0	conf.mat.colony2_sim_75.Dat
HS	0	30	6	36	0	0.833	0.167	conf.mat.colony2_sim_75.Dat
UR	0	144	9702	9846	0	0.015	0.985	conf.mat.colony2_sim_75.Dat
FS	18	0	0	18	1	0	0	conf.mat.colony2_sim_76.Dat
HS	0	20	2	22	0	0.909	0.091	conf.mat.colony2_sim_76.Dat
UR	0	174	9686	9860	0	0.018	0.982	conf.mat.colony2_sim_76.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_77.Dat
HS	2	22	10	34	0.059	0.647	0.294	conf.mat.colony2_sim_77.Dat
UR	0	176	9680	9856	0	0.018	0.982	conf.mat.colony2_sim_77.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_78.Dat
HS	0	34	4	38	0	0.895	0.105	conf.mat.colony2_sim_78.Dat
UR	0	156	9696	9852	0	0.016	0.984	conf.mat.colony2_sim_78.Dat
FS	16	4	0	20	0.8	0.2	0	conf.mat.colony2_sim_79.Dat
HS	0	26	4	30	0	0.867	0.133	conf.mat.colony2_sim_79.Dat
UR	0	146	9704	9850	0	0.015	0.985	conf.mat.colony2_sim_79.Dat
FS	18	6	0	24	0.75	0.25	0	conf.mat.colony2_sim_8.Dat
HS	2	14	0	16	0.125	0.875	0	conf.mat.colony2_sim_8.Dat
UR	0	166	9694	9860	0	0.017	0.983	conf.mat.colony2_sim_8.Dat
FS	6	0	0	6	1	0	0	conf.mat.colony2_sim_80.Dat
HS	0	34	2	36	0	0.944	0.056	conf.mat.colony2_sim_80.Dat
UR	0	146	9712	9858	0	0.015	0.985	conf.mat.colony2_sim_80.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_81.Dat
HS	0	28	12	40	0	0.7	0.3	conf.mat.colony2_sim_81.Dat
UR	0	176	9672	9848	0	0.018	0.982	conf.mat.colony2_sim_81.Dat
FS	16	0	0	16	1	0	0	conf.mat.colony2_sim_82.Dat
HS	0	14	8	22	0	0.636	0.364	conf.mat.colony2_sim_82.Dat
UR	0	140	9722	9862	0	0.014	0.986	conf.mat.colony2_sim_82.Dat
FS	10	2	0	12	0.833	0.167	0	conf.mat.colony2_sim_83.Dat
HS	0	12	12	24	0	0.5	0.5	conf.mat.colony2_sim_83.Dat
UR	0	170	9694	9864	0	0.017	0.983	conf.mat.colony2_sim_83.Dat
FS	2	0	0	2	1	0	0	conf.mat.colony2_sim_84.Dat
HS	0	14	4	18	0	0.778	0.222	conf.mat.colony2_sim_84.Dat
UR	0	182	9698	9880	0	0.018	0.982	conf.mat.colony2_sim_84.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_86.Dat
HS	0	18	8	26	0	0.692	0.308	conf.mat.colony2_sim_86.Dat
UR	0	164	9700	9864	0	0.017	0.983	conf.mat.colony2_sim_86.Dat
FS	10	0	0	10	1	0	0	conf.mat.colony2_sim_87.Dat
HS	0	6	4	10	0	0.6	0.4	conf.mat.colony2_sim_87.Dat
UR	0	188	9692	9880	0	0.019	0.981	conf.mat.colony2_sim_87.Dat
FS	26	2	0	28	0.929	0.071	0	conf.mat.colony2_sim_88.Dat
HS	0	20	4	24	0	0.833	0.167	conf.mat.colony2_sim_88.Dat
UR	0	152	9696	9848	0	0.015	0.985	conf.mat.colony2_sim_88.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_89.Dat
HS	0	24	4	28	0	0.857	0.143	conf.mat.colony2_sim_89.Dat
UR	0	166	9698	9864	0	0.017	0.983	conf.mat.colony2_sim_89.Dat
FS	4	0	0	4	1	0	0	conf.mat.colony2_sim_9.Dat
HS	0	16	2	18	0	0.889	0.111	conf.mat.colony2_sim_9.Dat
UR	0	196	9682	9878	0	0.02	0.98	conf.mat.colony2_sim_9.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_90.Dat
HS	2	28	8	38	0.053	0.737	0.211	conf.mat.colony2_sim_90.Dat
UR	0	156	9696	9852	0	0.016	0.984	conf.mat.colony2_sim_90.Dat
FS	6	2	0	8	0.75	0.25	0	conf.mat.colony2_sim_91.Dat
HS	0	10	6	16	0	0.625	0.375	conf.mat.colony2_sim_91.Dat
UR	0	178	9698	9876	0	0.018	0.982	conf.mat.colony2_sim_91.Dat
FS	4	2	0	6	0.667	0.333	0	conf.mat.colony2_sim_92.Dat
HS	2	34	6	42	0.048	0.81	0.143	conf.mat.colony2_sim_92.Dat
UR	0	164	9688	9852	0	0.017	0.983	conf.mat.colony2_sim_92.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_93.Dat
HS	0	20	14	34	0	0.588	0.412	conf.mat.colony2_sim_93.Dat
UR	0	148	9706	9854	0	0.015	0.985	conf.mat.colony2_sim_93.Dat
FS	14	2	0	16	0.875	0.125	0	conf.mat.colony2_sim_94.Dat
HS	0	8	6	14	0	0.571	0.429	conf.mat.colony2_sim_94.Dat
UR	0	148	9722	9870	0	0.015	0.985	conf.mat.colony2_sim_94.Dat
FS	8	0	0	8	1	0	0	conf.mat.colony2_sim_95.Dat
HS	0	18	8	26	0	0.692	0.308	conf.mat.colony2_sim_95.Dat
UR	0	166	9700	9866	0	0.017	0.983	conf.mat.colony2_sim_95.Dat
FS	8	2	0	10	0.8	0.2	0	conf.mat.colony2_sim_96.Dat
HS	0	18	0	18	0	1	0	conf.mat.colony2_sim_96.Dat
UR	0	140	9732	9872	0	0.014	0.986	conf.mat.colony2_sim_96.Dat
FS	12	0	0	12	1	0	0	conf.mat.colony2_sim_97.Dat
HS	2	22	10	34	0.059	0.647	0.294	conf.mat.colony2_sim_97.Dat
UR	0	154	9700	9854	0	0.016	0.984	conf.mat.colony2_sim_97.Dat
FS	8	0	0	8	1	0	0	conf.mat.colony2_sim_98.Dat
HS	4	40	4	48	0.083	0.833	0.083	conf.mat.colony2_sim_98.Dat
UR	0	124	9720	9844	0	0.013	0.987	conf.mat.colony2_sim_98.Dat
FS	20	0	0	20	1	0	0	conf.mat.colony2_sim_99.Dat
HS	0	14	2	16	0	0.875	0.125	conf.mat.colony2_sim_99.Dat
UR	0	154	9710	9864	0	0.016	0.984	conf.mat.colony2_sim_99.Dat
